Id,Name,IsDeleted,CreatedDate,LastModifiedDate,SystemModstamp,LastViewedDate,LastReferencedDate,PrimaryAccountId,MilestoneDate,IsTentative,MilestoneType,SourceSystemIdentifier,SourceSystem,MilestoneSiteId,MilestoneDescription,IsExpired,ExpirationDate,ExpirationDescription,PrimaryAccount.Name,MilestoneSite.Name
0do3h000000L4aXAAS,Partnered with Yelp  (Sample),false,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,,,0013h00000Cs4ONAAZ,2019-09-02T19:00:00.000+0000,false,New Partnership,,,,,false,,,Cumulus Restaurants (Sample),
0do3h000000L4aYAAS,Opened a new Restaurant in Manhattan  (Sample),false,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,,,0013h00000Cs4ONAAZ,2019-08-13T19:00:00.000+0000,false,New Product Launch,,,,,false,,,Cumulus Restaurants (Sample),
0do3h000000L4aZAAS,New Manhattan outlet Opening  (Sample),false,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,,,0013h00000Cs4ONAAZ,2019-09-30T19:00:00.000+0000,false,Expansion,,,,,false,,,Cumulus Restaurants (Sample),
0do3h000000L4aaAAC,Ranked Top in Brooklyn by Yelp  (Sample),false,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,,,0013h00000Cs4ONAAZ,2019-09-01T19:00:00.000+0000,false,Award,,,,,false,,,Cumulus Restaurants (Sample),
0do3h000000L4abAAC,Acquired Agency,false,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,,,0013h00000Cs4OTAAZ,2018-12-27T20:00:00.000+0000,false,Merger & Acquisition,,,,,false,,,"Smith, Kohl and Company (Sample)",
0do3h000000L4acAAC,APAC Expansion,false,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,,,0013h00000Cs4OTAAZ,2019-12-24T20:00:00.000+0000,false,Expansion,,,,,false,,,"Smith, Kohl and Company (Sample)",
0do3h000000L4adAAC,New CEO Mark,false,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,,,0013h00000Cs4OTAAZ,2018-12-30T20:00:00.000+0000,false,Executive Change,,,,,false,,,"Smith, Kohl and Company (Sample)",
0do3h000000L4aeAAC,Market Listing,false,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,,,0013h00000Cs4OTAAZ,2018-09-11T19:00:00.000+0000,false,Market Listing,,,,,false,,,"Smith, Kohl and Company (Sample)",
0do3h000000L4afAAC,Best Distribution Award,false,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,,,0013h00000Cs4OTAAZ,2019-12-29T20:00:00.000+0000,false,Award,,,,,false,,,"Smith, Kohl and Company (Sample)",
0do3h000000L4agAAC,Incorporation,false,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,2020-06-22T15:58:27.000+0000,,,0013h00000Cs4OTAAZ,1990-11-14T20:00:00.000+0000,false,Incorporation,,,,,false,,,"Smith, Kohl and Company (Sample)",
